TransactionID,CustomerID,BankID_Sent,BankID_Received,DateID,TransactionTypeID,FraudID,Amount,Status,PaymentMode
TXN000094,11,9,10,1470,2,1,32005.54,Success,QR Code
TXN000095,79,19,9,887,2,1,21421.0,Success,Phone Number
TXN000096,111,15,17,1245,2,1,43008.78,Success,Phone Number
TXN000097,98,4,8,1350,2,1,31041.37,Success,UPI ID
TXN000098,66,19,10,966,2,1,25879.28,Success,QR Code
TXN000099,9,14,5,1717,2,1,38105.56,Success,UPI ID
TXN000100,15,19,3,1050,2,1,55375.57,Success,Phone Number
TXN000101,146,4,11,146,2,1,34350.07,Success,Phone Number
TXN000102,28,4,17,1030,2,1,62702.7,Success,UPI ID
TXN000103,15,10,10,1639,2,1,4029.54,Success,UPI ID
TXN000104,22,19,15,1734,2,1,34128.06,Success,UPI ID
TXN000105,135,16,15,965,2,1,23452.86,Success,UPI ID
TXN000106,96,9,7,692,1,1,50496.95,Success,UPI ID
TXN000107,95,16,7,939,1,4,71561.15,Success,QR Code
TXN000108,41,16,10,1726,2,1,36983.84,Success,QR Code
TXN000109,51,1,10,1200,2,1,24254.7,Success,QR Code
TXN000110,116,6,18,390,2,1,27780.47,Success,QR Code
TXN000111,10,5,19,1055,2,1,15495.58,Success,UPI ID
TXN000112,71,1,7,1170,2,1,40398.69,Success,UPI ID
TXN000113,107,10,4,1084,2,1,29956.08,Success,QR Code
TXN000114,91,2,5,354,2,2,9038.28,Success,QR Code
TXN000115,58,5,18,340,2,1,18544.61,Failed,Phone Number
TXN000116,61,2,17,1044,2,1,4715.96,Success,UPI ID
TXN000117,111,3,3,1710,2,2,31346.18,Success,UPI ID
TXN000118,65,1,8,598,2,1,8582.84,Success,UPI ID
TXN000119,87,3,11,213,2,1,9912.72,Success,QR Code
TXN000120,94,2,1,1071,2,1,6261.88,Success,Phone Number
TXN000121,132,4,3,494,2,2,7313.7,Success,UPI ID
TXN000122,53,6,2,366,2,1,69117.94,Success,QR Code
TXN000123,10,13,13,2051,2,1,22943.46,Success,UPI ID
TXN000124,94,12,6,1479,2,3,52890.32,Failed,QR Code
TXN000125,61,20,8,1505,2,2,21182.05,Success,UPI ID
TXN000126,2,18,1,337,1,1,53189.17,Success,QR Code
TXN000127,144,3,10,803,2,4,11907.77,Success,QR Code
TXN000128,11,14,3,1512,2,1,25174.85,Success,UPI ID
TXN000129,64,8,8,2067,1,1,17614.27,Success,QR Code
TXN000130,99,17,11,1411,2,1,25932.7,Success,QR Code
TXN000131,12,7,11,2008,2,1,53961.12,Success,QR Code
TXN000132,97,8,16,799,2,1,71154.06,Success,Phone Number
TXN000133,114,11,5,1228,2,1,5353.32,Failed,QR Code
TXN000134,145,8,20,598,1,1,9445.18,Success,Phone Number
TXN000135,31,17,6,384,2,4,4946.43,Success,Phone Number
TXN000136,90,2,18,1198,2,3,30203.0,Success,Phone Number
TXN000137,63,20,19,1217,2,1,20328.78,Success,Phone Number
TXN000138,43,2,18,1763,2,1,40522.76,Success,QR Code
TXN000139,139,15,4,1694,2,1,30017.81,Success,Phone Number
TXN000140,87,20,5,663,1,1,4744.54,Success,QR Code
TXN000141,103,6,19,868,1,1,6050.07,Success,QR Code
TXN000142,108,7,2,1944,1,1,464.66,Success,Phone Number
TXN000143,79,20,8,671,2,1,6002.41,Success,UPI ID
TXN000144,104,7,7,1747,2,1,17444.74,Success,Phone Number
TXN000145,148,15,6,1306,2,1,19015.93,Success,UPI ID
TXN000146,76,2,18,1961,2,1,55065.67,Success,QR Code
TXN000147,72,19,6,2120,1,1,64848.1,Success,QR Code
TXN000148,94,4,17,1144,2,1,22723.65,Success,UPI ID
TXN000149,49,18,20,1819,1,3,66236.53,Success,QR Code
TXN000150,77,15,3,1591,2,1,68026.77,Success,QR Code
TXN000151,59,11,9,2120,2,3,28541.01,Success,UPI ID
TXN000152,41,12,3,2180,1,1,57790.57,Success,UPI ID
TXN000153,64,2,3,1587,1,1,56794.62,Success,UPI ID
TXN000154,118,11,14,2040,2,1,44737.35,Success,UPI ID
TXN000155,126,11,2,614,2,1,10822.99,Success,QR Code
TXN000156,127,3,18,1295,1,1,41816.05,Success,Phone Number
TXN000157,7,17,1,1182,2,3,33340.31,Success,UPI ID
TXN000158,11,6,11,226,2,1,29742.28,Success,UPI ID
TXN000159,109,1,13,1825,2,1,30868.51,Success,Phone Number
TXN000160,144,20,16,1561,2,3,39219.73,Success,QR Code
TXN000161,17,10,18,1430,1,1,43496.56,Success,Phone Number
TXN000162,96,7,4,991,2,1,36095.39,Success,Phone Number
TXN000163,16,3,9,1657,2,1,10435.02,Success,QR Code
TXN000164,95,11,3,208,2,3,19510.59,Success,QR Code
TXN000165,43,7,14,1861,2,3,73071.19,Failed,QR Code
TXN000166,66,9,11,23,2,4,3303.83,Success,Phone Number
TXN000167,127,14,1,786,2,1,36839.62,Success,Phone Number
TXN000168,22,7,8,177,2,1,6764.72,Success,QR Code
TXN000169,116,14,15,15,2,1,7335.27,Success,Phone Number
TXN000170,107,4,20,1577,2,1,39805.6,Success,UPI ID
TXN000171,30,3,8,1844,2,1,18914.1,Failed,QR Code
TXN000172,111,15,16,222,2,1,14759.82,Success,UPI ID
TXN000173,99,15,4,1191,2,1,74153.54,Success,Phone Number
TXN000174,112,9,3,1793,2,1,52547.98,Success,Phone Number
TXN000175,142,16,17,343,1,1,61767.88,Success,QR Code
TXN000176,28,2,6,751,2,2,37594.83,Success,UPI ID
TXN000177,77,15,14,360,2,4,15106.71,Success,QR Code
TXN000178,129,9,10,1564,2,1,62314.69,Success,UPI ID
TXN000179,86,15,18,595,2,1,58739.59,Success,Phone Number
TXN000180,69,9,13,2108,2,1,64939.03,Success,QR Code
TXN000181,53,18,13,674,1,1,5347.6,Success,Phone Number
TXN000182,143,16,5,1224,2,3,57752.76,Success,QR Code
TXN000183,93,19,14,160,1,1,31963.43,Failed,Phone Number
TXN000184,26,10,15,1553,2,1,3969.5,Success,QR Code
TXN000185,19,17,8,1935,2,1,69119.2,Success,UPI ID
TXN000186,17,9,13,611,1,1,34368.98,Success,QR Code
TXN000187,63,2,1,1739,2,1,48917.74,Success,QR Code
TXN000188,80,19,10,633,2,3,29122.48,Success,UPI ID
TXN000189,86,13,11,793,2,1,10297.9,Success,UPI ID
TXN000190,66,5,2,1385,1,1,63857.98,Success,Phone Number
TXN000191,89,5,15,735,2,1,73053.73,Success,QR Code
TXN000192,64,15,2,1566,2,1,20921.4,Success,QR Code
TXN000193,104,4,15,1102,2,1,66942.15,Success,QR Code
TXN000194,15,14,20,1222,2,1,26042.75,Success,Phone Number
TXN000195,64,14,17,1333,2,2,59410.89,Success,QR Code
TXN000196,15,20,11,1429,1,1,9332.83,Success,UPI ID
TXN000197,104,4,18,893,1,1,17491.95,Success,QR Code
TXN000198,120,5,19,427,1,3,36814.1,Success,QR Code
TXN000199,136,16,6,2030,1,1,60652.21,Success,QR Code
TXN000200,106,19,3,2160,2,4,12799.5,Success,UPI ID
TXN000201,62,7,6,932,1,1,21454.52,Success,QR Code
TXN000202,3,16,4,1855,1,1,65571.52,Success,QR Code
TXN000203,144,12,14,1034,2,1,46491.55,Success,QR Code
TXN000204,81,14,20,1365,2,1,14469.71,Success,QR Code
TXN000205,48,12,3,629,2,1,25929.63,Success,QR Code
TXN000206,76,7,15,1039,2,1,12171.72,Success,Phone Number
TXN000207,146,11,19,832,2,2,43025.49,Success,QR Code
TXN000208,116,4,20,1888,2,1,60577.25,Success,UPI ID
TXN000209,9,16,6,443,2,1,64575.5,Success,QR Code
TXN000210,16,12,15,1372,2,1,23116.37,Success,QR Code
TXN000211,94,2,1,1872,2,1,11648.56,Success,UPI ID
TXN000212,18,10,3,380,2,1,11219.32,Failed,UPI ID
TXN000213,24,4,5,1920,2,1,8807.85,Failed,UPI ID
TXN000214,56,15,1,112,2,1,21658.19,Success,QR Code
TXN000215,88,6,8,1948,2,1,22747.3,Success,QR Code
TXN000216,147,20,2,1447,1,1,8695.26,Success,QR Code
TXN000217,32,15,10,217,2,1,56641.63,Success,QR Code
TXN000218,75,4,9,1237,2,2,11307.29,Success,Phone Number
TXN000219,141,16,6,1319,2,1,72743.28,Success,UPI ID
TXN000220,17,13,6,1297,1,1,53775.45,Success,QR Code
TXN000221,123,3,3,2013,2,1,74723.78,Success,UPI ID
TXN000222,51,1,14,1998,2,2,59206.61,Success,QR Code
TXN000223,78,18,19,1638,1,1,32221.82,Success,QR Code
TXN000224,8,10,13,160,2,2,70001.01,Success,QR Code
TXN000225,85,18,15,1749,2,4,52127.11,Success,QR Code
TXN000226,109,20,4,774,2,1,66203.26,Success,QR Code
TXN000227,78,16,11,485,2,1,49817.49,Success,QR Code
TXN000228,114,18,2,438,2,1,21442.91,Success,UPI ID
TXN000229,122,9,4,1139,2,1,12567.57,Success,UPI ID
TXN000230,35,17,9,2149,2,3,56894.58,Success,Phone Number
TXN000231,5,12,7,593,2,2,36914.97,Success,QR Code
TXN000232,38,15,3,575,2,1,55138.13,Success,UPI ID
TXN000233,140,8,9,1201,2,1,17170.26,Success,UPI ID
TXN000234,32,16,15,1233,2,2,59515.68,Success,QR Code
TXN000235,67,12,2,1359,2,1,5879.59,Success,UPI ID
TXN000236,14,14,14,595,2,1,7105.64,Success,QR Code
TXN000237,57,7,10,4,2,1,74553.46,Success,UPI ID
TXN000238,86,9,7,1522,2,1,69737.09,Success,QR Code
TXN000239,67,5,15,370,2,1,37351.65,Failed,UPI ID
TXN000240,145,11,14,2070,2,1,70871.21,Success,Phone Number
TXN000241,64,5,16,826,2,4,13147.6,Success,QR Code
TXN000242,122,13,1,1475,2,4,50654.64,Failed,QR Code
TXN000243,54,15,9,1990,2,1,59001.6,Success,UPI ID
TXN000244,135,3,10,647,2,1,1824.05,Success,QR Code
TXN000245,130,19,20,373,2,3,72403.58,Success,QR Code
TXN000246,102,10,11,301,2,1,23067.58,Success,QR Code
TXN000247,17,7,5,831,2,1,13775.89,Success,UPI ID
TXN000248,150,9,4,571,2,1,43371.23,Failed,QR Code
TXN000249,45,4,19,1779,2,1,17092.29,Success,QR Code
TXN000250,113,3,13,157,2,3,40732.78,Success,UPI ID
TXN000251,92,6,9,623,2,3,1202.22,Success,QR Code
TXN000252,83,10,4,505,1,2,6351.08,Success,UPI ID
TXN000253,91,14,8,321,1,2,16164.48,Success,UPI ID
TXN000254,12,20,9,1832,2,1,11623.1,Success,UPI ID
TXN000255,103,8,5,1905,2,1,56920.38,Failed,Phone Number
TXN000256,141,16,3,67,2,1,68585.87,Failed,Phone Number
TXN000257,7,18,18,466,2,2,3406.4,Success,Phone Number
TXN000258,144,2,9,1788,2,1,26770.88,Success,Phone Number
TXN000259,147,15,12,627,1,1,65700.29,Success,Phone Number
TXN000260,135,14,13,1985,2,4,50111.58,Success,Phone Number
TXN000261,30,11,11,440,2,1,124.57,Success,QR Code
TXN000262,12,9,13,575,1,1,1016.85,Success,QR Code
TXN000263,49,13,8,1650,2,1,69355.9,Success,Phone Number
TXN000264,54,6,3,964,2,1,22650.23,Success,QR Code
TXN000265,78,12,7,404,2,4,51461.22,Success,Phone Number
TXN000266,118,5,14,742,1,1,28376.58,Success,UPI ID
TXN000267,48,12,7,1667,2,1,66260.8,Success,UPI ID
TXN000268,58,16,4,2138,2,1,47887.33,Success,QR Code
TXN000269,43,2,16,78,1,1,67300.84,Success,UPI ID
TXN000270,85,5,3,333,2,1,42039.38,Success,QR Code
TXN000271,122,6,6,1340,2,1,68770.53,Success,UPI ID
TXN000272,19,20,14,336,2,1,66634.43,Success,UPI ID
TXN000273,43,4,2,1091,2,1,31806.08,Failed,QR Code
TXN000274,80,1,18,1354,2,4,64497.78,Failed,QR Code
TXN000275,56,2,20,960,2,1,46308.87,Success,Phone Number
TXN000276,66,10,4,293,2,2,19187.03,Success,Phone Number
TXN000277,107,13,6,1840,1,1,8368.73,Success,UPI ID
TXN000278,39,8,12,1519,2,1,12724.79,Success,Phone Number
TXN000279,30,19,19,62,1,4,74455.39,Success,QR Code
TXN000280,119,9,10,360,2,1,60381.4,Failed,UPI ID
TXN000281,39,9,19,1148,2,1,60444.74,Success,QR Code
TXN000282,84,15,16,1504,2,1,43897.61,Success,Phone Number
TXN000283,35,18,1,1541,1,1,2623.77,Success,UPI ID
TXN000284,74,5,14,939,2,1,34593.66,Success,UPI ID
TXN000285,26,19,1,1021,2,1,12612.55,Success,UPI ID
TXN000286,149,6,10,2045,1,1,18171.15,Success,UPI ID
TXN000287,13,19,14,956,2,4,26316.57,Failed,QR Code
TXN000288,16,15,12,1745,2,1,60091.71,Success,QR Code
TXN000289,91,2,4,859,1,3,1811.84,Success,Phone Number
TXN000290,101,14,9,707,2,1,48143.56,Success,QR Code
TXN000291,22,18,3,1084,2,1,73658.13,Success,UPI ID
TXN000292,39,9,6,734,1,1,48590.26,Success,QR Code
TXN000293,146,7,6,484,2,1,45803.28,Success,QR Code
TXN000294,114,13,9,1774,2,1,20148.74,Success,QR Code
TXN000295,13,2,16,689,1,1,43865.54,Success,QR Code
TXN000296,65,4,7,1827,2,1,10284.26,Success,QR Code
TXN000297,38,13,16,1107,1,1,39003.91,Success,QR Code
TXN000298,66,4,8,784,1,1,53195.68,Success,QR Code
TXN000299,44,9,3,1895,2,1,12161.04,Success,QR Code
TXN000300,73,3,17,848,2,2,59958.59,Success,QR Code
TXN000301,94,10,12,437,1,1,624.66,Success,UPI ID
TXN000302,128,3,9,1649,1,4,34244.25,Success,Phone Number
TXN000303,69,9,12,791,2,1,21088.87,Success,UPI ID
TXN000304,6,16,20,167,2,1,22198.22,Success,QR Code
TXN000305,8,6,2,418,1,2,30174.93,Success,QR Code
TXN000306,25,4,13,1710,2,1,71345.81,Success,Phone Number
TXN000307,95,18,13,144,1,1,51385.99,Success,QR Code
TXN000308,144,3,15,1089,2,1,25903.31,Success,QR Code
TXN000309,119,15,6,13,1,1,7761.14,Success,QR Code
TXN000310,54,18,13,202,1,1,29215.83,Success,QR Code
TXN000311,146,12,6,1312,2,1,58001.87,Failed,UPI ID
TXN000312,90,8,8,1092,1,3,49722.56,Success,QR Code
TXN000313,123,6,8,581,2,1,46894.64,Success,QR Code
TXN000314,144,15,5,1223,2,1,19440.25,Failed,Phone Number
TXN000315,144,1,16,302,2,1,66259.98,Success,QR Code
TXN000316,113,5,5,2062,2,3,7913.98,Success,QR Code
TXN000317,7,6,10,688,2,1,63374.99,Success,Phone Number
TXN000318,141,12,1,863,2,2,52052.35,Success,Phone Number
TXN000319,29,10,12,1528,2,1,66429.53,Success,QR Code
TXN000320,137,9,8,45,2,1,53068.63,Success,UPI ID
TXN000321,11,4,13,700,2,2,72110.45,Success,Phone Number
TXN000322,127,14,17,77,1,1,27485.56,Success,QR Code
TXN000323,106,2,5,597,1,1,35598.65,Success,UPI ID
TXN000324,56,8,15,115,2,3,35056.76,Success,UPI ID
TXN000325,96,8,12,288,2,1,69240.69,Success,UPI ID
TXN000326,128,17,2,1909,1,1,8135.89,Success,Phone Number
TXN000327,139,20,10,695,2,1,5203.23,Success,UPI ID
TXN000328,106,2,7,688,2,1,29111.47,Failed,UPI ID
TXN000329,28,2,2,1201,1,1,74278.57,Success,UPI ID
TXN000330,81,13,9,647,2,1,31971.37,Success,QR Code
TXN000331,98,9,9,568,2,1,1093.85,Success,UPI ID
TXN000332,78,1,6,1732,1,3,4005.15,Success,Phone Number
TXN000333,97,16,20,941,2,1,50864.78,Success,QR Code
TXN000334,140,17,3,1091,2,1,30165.25,Success,QR Code
TXN000335,111,20,5,1164,2,1,61205.56,Success,QR Code
TXN000336,14,11,6,141,1,1,33250.52,Success,QR Code
TXN000337,126,8,18,1010,2,1,28747.33,Success,UPI ID
TXN000338,95,10,5,1917,2,1,17904.52,Success,QR Code
TXN000339,13,1,16,215,2,1,14053.47,Success,QR Code
TXN000340,122,11,7,1529,2,1,74252.25,Success,QR Code
TXN000341,106,14,10,856,1,1,45156.36,Success,UPI ID
TXN000342,124,1,16,516,2,1,16171.63,Success,QR Code
TXN000343,48,15,9,1934,2,1,39006.35,Failed,QR Code
TXN000344,61,12,9,1045,1,1,14630.32,Success,QR Code
TXN000345,38,19,6,1277,2,1,30349.84,Failed,Phone Number
TXN000346,7,11,8,1690,1,2,15341.35,Success,QR Code
TXN000347,104,2,15,654,2,1,27168.71,Success,QR Code
TXN000348,132,6,4,571,2,1,28163.57,Success,Phone Number
TXN000349,40,19,6,199,2,3,7862.6,Success,QR Code
TXN000350,138,10,19,1409,2,3,60764.51,Success,Phone Number
TXN000351,64,3,7,50,1,1,73053.81,Failed,UPI ID
TXN000352,127,17,6,1719,1,1,19247.41,Success,QR Code
TXN000353,121,2,8,1090,2,2,30245.43,Success,Phone Number
TXN000354,49,13,14,1311,2,1,74583.96,Success,QR Code
TXN000355,95,14,20,653,1,1,71489.66,Success,UPI ID
TXN000356,76,11,10,639,2,1,63626.13,Success,Phone Number
TXN000357,96,12,11,1313,1,1,12923.03,Success,Phone Number
TXN000358,11,4,4,307,1,1,22978.37,Success,UPI ID
TXN000359,129,15,10,2177,1,3,71761.64,Success,UPI ID
TXN000360,12,3,4,1563,1,1,298.33,Success,UPI ID
TXN000361,37,8,9,979,2,1,25015.79,Success,Phone Number
TXN000362,47,7,14,26,2,2,14437.45,Success,QR Code
TXN000363,129,11,12,1320,2,1,17501.75,Success,QR Code
TXN000364,62,10,9,138,2,2,3570.3,Success,Phone Number
TXN000365,129,9,16,1269,1,3,68874.08,Success,Phone Number
TXN000366,144,11,6,247,2,1,59147.11,Success,Phone Number
TXN000367,81,16,11,1441,1,1,44763.91,Success,QR Code
TXN000368,115,7,11,1929,2,1,19220.73,Success,UPI ID
TXN000369,39,12,2,850,2,1,3994.16,Success,QR Code
TXN000370,144,18,10,1742,2,1,14188.96,Success,UPI ID
TXN000371,150,11,1,1611,2,1,45208.08,Success,QR Code
TXN000372,51,13,13,1268,2,3,46809.72,Success,QR Code
TXN000373,99,13,9,1235,2,2,20661.54,Failed,UPI ID
TXN000374,47,7,7,1053,1,1,1468.05,Success,QR Code
TXN000375,31,8,13,32,2,1,7808.36,Success,QR Code
TXN000376,70,13,7,2094,1,1,25728.93,Success,QR Code
TXN000377,94,15,4,1341,2,1,6981.03,Success,UPI ID
TXN000378,48,1,3,1210,1,1,8569.59,Success,Phone Number
TXN000379,137,5,3,1967,2,1,18532.79,Success,Phone Number
TXN000380,66,1,2,1572,2,2,61633.75,Failed,Phone Number
TXN000381,64,12,8,575,2,1,26378.61,Failed,UPI ID
TXN000382,94,3,9,1988,2,1,57061.81,Success,UPI ID
TXN000383,99,14,12,1722,2,1,57649.81,Success,QR Code
TXN000384,32,4,3,1866,2,1,3062.78,Success,UPI ID
TXN000385,15,6,2,240,2,2,67620.0,Success,Phone Number
TXN000386,34,5,7,2146,2,1,72262.85,Failed,QR Code
TXN000387,24,7,7,1679,2,1,72625.91,Success,Phone Number
TXN000388,49,18,14,1970,2,1,47559.36,Success,QR Code
TXN000389,125,14,10,333,2,1,4784.54,Success,UPI ID
TXN000390,58,18,9,2163,1,1,2325.08,Success,Phone Number
TXN000391,145,17,9,1033,2,1,70049.14,Success,QR Code
TXN000392,132,6,12,870,2,1,66578.07,Success,QR Code
TXN000393,22,17,6,1039,1,1,42795.81,Success,QR Code
TXN000394,41,18,12,391,2,1,6491.94,Success,UPI ID
TXN000395,55,2,16,441,2,3,10664.09,Success,UPI ID
TXN000396,147,7,11,1706,2,1,31711.43,Success,UPI ID
TXN000397,64,19,1,445,1,1,13267.18,Success,UPI ID
TXN000398,117,14,1,1666,1,3,70819.15,Failed,QR Code
TXN000399,97,15,15,1970,2,2,34689.37,Success,Phone Number
TXN000400,17,11,19,812,2,1,53255.09,Success,QR Code
TXN000401,18,18,15,517,2,1,49937.53,Success,QR Code
TXN000402,118,11,17,1351,1,1,55523.93,Success,Phone Number
TXN000403,128,1,17,1833,2,1,60822.66,Success,QR Code
TXN000404,81,15,14,1297,2,2,34284.33,Success,Phone Number
TXN000405,72,7,14,1069,2,1,59420.9,Success,QR Code
TXN000406,22,6,15,670,2,1,62976.88,Success,UPI ID
TXN000407,16,6,16,298,1,1,17184.4,Success,Phone Number
TXN000408,9,16,4,1944,2,4,25036.99,Success,QR Code
TXN000409,57,15,2,1115,1,1,60633.05,Success,QR Code
TXN000410,70,4,19,974,1,1,72640.87,Success,Phone Number
TXN000411,27,6,6,1175,2,1,38770.07,Success,UPI ID
TXN000412,92,7,6,696,1,1,20823.28,Success,Phone Number
TXN000413,64,11,6,895,2,2,56113.8,Success,UPI ID
TXN000414,110,5,17,1905,2,1,30572.31,Success,QR Code
TXN000415,140,19,6,1236,2,1,64718.21,Success,Phone Number
TXN000416,147,5,20,111,2,4,2065.08,Success,Phone Number
TXN000417,130,13,13,496,1,1,53033.74,Success,UPI ID
TXN000418,88,16,3,2052,2,1,60976.25,Failed,QR Code
TXN000419,17,18,12,1401,2,1,42250.41,Success,UPI ID
TXN000420,32,3,14,1357,2,2,67846.54,Success,QR Code
TXN000421,136,5,2,1318,2,1,68373.3,Success,QR Code
TXN000422,65,18,8,861,2,1,59379.69,Success,QR Code
TXN000423,24,20,7,1166,2,1,70324.58,Success,QR Code
TXN000424,65,6,10,966,1,3,42843.88,Success,QR Code
TXN000425,38,2,18,1466,2,2,15936.98,Failed,UPI ID
TXN000426,92,2,4,1906,2,1,36480.85,Success,UPI ID
TXN000427,16,11,3,449,1,1,58659.73,Success,QR Code
TXN000428,132,3,18,1388,2,3,23668.37,Success,UPI ID
TXN000429,80,5,10,1979,1,1,45507.01,Success,QR Code
TXN000430,88,6,1,454,2,1,50901.19,Success,QR Code
TXN000431,115,18,11,631,2,2,42804.8,Success,UPI ID
TXN000432,32,19,2,1111,1,1,66192.37,Success,UPI ID
